sample_ID	sample_type	B_cell	CD4_Tcell	CD8_Tcell	Neutrophil	Macrophage	Dendritic
TCGA-B8-A7U6	01A	0.0829818117232506	0.130178279839701	0.202752414866	0.180102900109922	0.0799230210926034	0.361307987798369
TCGA-B8-A8YJ	01A	0.12139119945658	0.485170652041789	0.207302458023724	0.241330748983893	0.507740016852348	0.617228066487615
TCGA-BP-4158	01A	0.0553085298718699	0.0899676521852261	0.132758783648522	0.065263390037004	0	0.317249388812789
TCGA-BP-4159	01A	0.0103303191931888	0.0301476547379067	0.185657238217272	0.0600094698031422	0	0.251450720511799
TCGA-BP-4160	01A	0.235169185371063	0	0.761060048355091	0.153980398484055	0.163966838177171	0.886607778267908
TCGA-BP-4161	01A	0.161818293188762	0.179301135589589	0.444187323136986	0.2022486348083	0.174155370996018	0.763205347868089
TCGA-BP-4162	01A	0.166784595269309	0.103572076867463	0.571155986125002	0.191342623671953	0.138339801104703	0.746954393068757
TCGA-BP-4163	01A	0.148453269958397	0.115258571141735	0.101629820746641	0.198978446786265	0.174269902106071	0.414884233028687
TCGA-BP-4164	01A	0.0910291843813336	0.0791299854298445	0.0399947422546867	0.0993270767138544	0.00308440150498986	0.258316705448982
TCGA-BP-4165	01A	0.0271862062565228	0.0193710831993515	0.463781777747336	0.0632399965176912	0	0.316601525731145
TCGA-BP-4166	01A	0.0542778309680099	0.0655280161402855	0.234954317815314	0.0818601357083905	0.0427552698565125	0.397297789650658
TCGA-BP-4167	01A	0.0756644269048703	0.172680721364361	0.448127296882148	0.111312157536155	0.175421255535909	0.648936635442265
TCGA-BP-4169	01A	0.0906098886824362	0.246095639165268	0.261731077442825	0.29837680291922	0.208634109770412	0.680321402551866
TCGA-BP-4170	01A	0.181262473844064	0.10253943315538	0.289677407519859	0.105193910648332	0.0930951945375751	0.68282515095969
TCGA-BP-4173	01A	0.497251111119675	0.30209172797971	1.04296950061693	0.254917581743719	0.137743179706212	1.90252928355911
TCGA-BP-4174	01A	0.158524316556924	0.0412429715597052	0.144932481483394	0.074838360765622	0.0679683846028136	0.592059728516102
TCGA-BP-4176	01A	0.103049279809474	0.178711597850211	0.149268117386602	0.215937155958594	0.360508554124266	0.578691586495513
TCGA-BP-4177	01A	0.0702611866560471	0.141128279734098	0.0488750739708044	0.0341197305920452	0.0143440439707971	0.277756020266518
TCGA-BP-4325	01A	0.165955573825557	0.112087863208844	0.325296687965579	0.108221741155201	0.0590224345136667	0.61355524165403
TCGA-BP-4326	01A	0.0546698407811743	0.0842603737017364	0.0828012972899406	0.109475297573038	0	0.310099432931178
TCGA-BP-4327	01A	0.0540237673221561	0.103580974058431	0.10303499785231	0.0646731828925732	0	0.263806218004767
TCGA-BP-4329	01A	0.0906890262923973	0.0743721863565938	0.177535765371638	0.0851803157038121	0.0218319334830741	0.470227771354593
TCGA-BP-4330	01A	0.247373497310384	0.286605003046172	0.54163655672069	0.144791288298265	0.162740480087609	0.879845702872732
TCGA-BP-4331	01A	0.141188712280572	0.235873604221166	0.126608217140424	0.185246917972859	0.223821926592023	0.584195637719991
